institution_name,inst_type_name,institution_city,state_abbv,active_ind,display_order
Penn State Alumni Association,Alumni Association,University Park,PA,Y,962
Penn State Alumni Association,Alumni Association,State College,PA,Y,963
Pennsylvania College of Optometry,University,Philadelphia,PA,Y,964
Pennsylvania Pharmacists Association,Other,Harrisburg,PA,Y,965
Pensacola State College,University,Pensacola,FL,Y,966
Pepperdine,Alumni Association,Malibu,CA,Y,967
Pepperdine University Alumni Association,Alumni Association,Malibu,CA,Y,968
Phi Alpha Delta Law Fraternity International,Other,Baltimore,MD,Y,969
Phi Chi Medical Fraternity,Other,New Albany,IN,Y,970
Phi Chi Theta,Other,Lufkin,TX,Y,971
Phi Delta Chi,Other,South Lyon,MI,Y,972
Phi Delta Chi,Other,Arlington,VA,Y,973
Phi Delta Epsilon Medical Fraternity Inc,Other,Alpena ,MI,Y,974
"Phi Delta Epsilon Medical Fraternity, Inc.",Other,Hollywood,FL,Y,975
Phi Delta Kappa International,Other,Bloomington,IN,Y,977
"Phi Delta Kappa International, Inc.",Other,Bloomington,IN,Y,978
Phi Delta Theta Fraternity,Other,Oxford,OH,Y,979
Phi Epsilon Kappa,Other,Indianapolis,IN,Y,980
Phi Eta Sigma,Other,Bowling Green,KY,Y,981
Phi Gamma Nu,Other,Seven Hills,OH,Y,982
Phi Kappa Phi,Other,Baton Rouge,LA,Y,983
Phi Kappa Phi Honor Society,Other,Baton Rouge,LA,Y,984
Phi Kappa Psi,Other,Indianapolis,IN,Y,985
Phi Kappa Sigma International Fraternity,Other,Chester Springs,PA,Y,986
Phi Kappa Sigma Intl. Fraternity,Other,Chester Springs,PA,Y,987
Phi Kappa Tau Fraternity,Other,Oxford,OH,Y,988
Phi Kappa Theta National Fraternity,Other,Carmel,IN,Y,989
"Phi Lota Alpha Fraternity, Inc.",Other,Brooklyn,NY,Y,990
Phi Mu ,Other,Tucker,GA,Y,992
Phi Mu Alpha Sinfonia Fraternity of America Inc,Other,Evansville,IN,Y,993
"Phi Mu Alpha Sinfonia Fraternity of America, Inc.",Other,Evansville,IN,Y,994
Phi Mu Fraternity,Other,Tucker,GA,Y,995
"Phi Rho Eta Fraternity, Inc.",Other,Chicago,IL,Y,996
Phi Rho Sigma Medical Society,Other,Indianapolis,IN,Y,997
Phi Sigma Pi,Other,Lancaster,PA,Y,998
Phi Sigma Sigma Foundation,Foundation,Elkridge,MD,Y,999
Phi Theta Kappa International Honor Society,Other,Jackson,MS,Y,1000
Philadelphia College of Pharmacy and Science,University,Philadelphia,PA,Y,1001
Pi Beta Phi Fraternity Inc,Other,Town & Country,MO,Y,1002
"Pi Beta Phi Fraternity, Inc.",Other,Town and Country,MO,Y,1003
Pi Kappa Alpha Corporation,Other,Memphis,TN,Y,1005
Pi Kappa Phi Foundation,Foundation,Charlotte,NC,Y,1006
Pi Lambda Phi ,Other,Danbury,CT,Y,1008
"Pi Lambda Phi Fraternity, Inc.",Other,Danbury,CT,Y,1009
Pi Sigma Epsilon Inc,Other,Hartland,WI,Y,1010
"Pi Sigma Epsilon, Inc.",Other,Hartland,WI,Y,1011
Pittsburg State University Alumni Association,Alumni Association,Pittsburg,KS,Y,1012
"Pittsburg State University Alumni Association, Inc. ",Alumni Association,Pittsburg,KS,Y,1013
"Pittsburg State Univesity Alumni Association, Inc. ",Alumni Association,Pittsburg,KS,Y,1014
Plymouth State College Alumni Association,Alumni Association,Plymouth,NH,Y,1015
Plymouth State University Alumni Association,Alumni Association,Plymouth,NH,Y,1016
Polytechnic Institute Alumni Association,Alumni Association,Brooklyn,NY,Y,1017
Polytechnic Institute Alumni Association,Alumni Association,New York,NY,Y,1018
"Polytechnic Institute Alumni Association, Inc.",Alumni Association,Brooklyn,NY,Y,1019
Polytechnic University Alumni Association,Alumni Association,Brooklyn,NY,Y,1020
Pontificia Universidad Católica,University,San Juan,PR,Y,1021
Pontificia Universidad Católica de Puerto Rico,University,Ponce,PR,Y,1022
Portland State University Alumni Association,Alumni Association,Portland,OR,Y,1023
"Potsdam College Foundation, Inc.",Foundation,Potsdam,NY,Y,1024
Prairie View A & M National Alumni Association,Alumni Association,Prairie View,TX,Y,1025
Prairie View A & M University/National Alumni Association,"Alumni Association, University",Prairie View,TX,Y,1026
Prairie View A and M University National Alumni Association,Alumni Association,Prairie View,TX,Y,1027
Prairie View A&M University - National Alumni Association,Alumni Association,Prairie View,TX,Y,1028
Prairie View A&M University/National Alumni Association,"Alumni Association, University",Prairie View,TX,Y,1029
Pratt Institute,University,Brooklyn,NY,Y,1030
Presbyterian College,University,Clinton,SC,Y,1031
President and Trustees of the Spring Hill College of the County of Mobile,University,Mobile,AL,Y,1032
Princeton University Alumni Association,Alumni Association,Princeton,NJ,Y,1033
Princeton University Store,Other,Princeton,NJ,Y,1034
Principia,University,St. Louis,MO,Y,1035
Project Management Institute,Other,Newton Square,PA,Y,1036
Providence College Alumni Association,Alumni Association,Providence,RI,Y,1038
Psi Omega Dental Fraternity,Other,Charleston,SC,Y,1039
Psi Upsilon Fraternity,Other,Indianapolis,IN,Y,1040
Purdue Alumni Association ,Alumni Association,West Lafayette,IN,Y,1042
Queens College Foundation,Foundation,Flushing,NY,Y,1043
Queen's University ,University,Kingston,ON,Y,1044
Queen's University at Kingston,University,Kingston,ON,Y,1045
Quincy University,University,Quincy,IL,Y,1046
Quinnipiac University,University,Hamden,CT,Y,1047
Quinnipiac University School of Law,University,Hamden,CT,Y,1048
Radford University Alumni Association,Alumni Association,Radford,VA,Y,1049
Ramapo College Foundation,Foundation,Mahwah,NJ,Y,1050
Randolph Macon Woman's College Alumnae Association,Alumni Association,Lynchburg,VA,Y,1051
Reading Area Community College,University,Reading,PA,Y,1052
Reading Area Community College,University,Lancaster,PA,Y,1053
Regents of  the University of Colorado,University,Boulder,CO,Y,1054
Regents of the University of Colorado,University,Denver,CO,Y,1055
Regents of the University of Colorado ,University,Colorado Springs,CO,Y,1056
"Regents of the University of Colorado, a Body Corporate",University,Boulder,CO,Y,1057
Regents of the University of Minnesota,University,Minneapolis,MN,Y,1058
Regis College,University,Weston,MA,Y,1059
Regis University Alumni Associatoin,Alumni Association,Denver,CO,Y,1060
Rensselaer Polytechnic,Alumni Association,Troy,NY,Y,1061
Rensselaer Polytechnic Institute Alumni Association,Alumni Association,Troy,NY,Y,1063
Rhode Island College,Alumni Association,Providence,RI,Y,1064
Rhode Island College Alumni Association,Alumni Association,Providence,RI,Y,1065
Rhode Island School of Design,University,Providence ,RI,Y,1066
Richard Stockton College of New Jersey,University,Pomona,NJ,Y,1069
Rider University,University,Lawrenceville,NJ,Y,1070
Robert Morris College Alumni Association,Alumni Association,Coraopolis,PA,Y,1071
Robert Morris University Alumni Association,Alumni Association,Coraopolis,PA,Y,1072
Rochester College,University,Rochester,MI,Y,1073
Rochester University (formally known as Rochester College),University,Rochester,MI,Y,1074
Rockhurst University,University,Kansas City,MO,Y,1075
Roger Williams University,University,Bristol,RI,Y,1077
Rollins College Alumni Association,Alumni Association,Winter Park,FL,Y,1078
"Rollins College Alumni Association, Inc.",Alumni Association,Winter Park,FL,Y,1079
Rose Hulman Institute of Technology,University,Terre Haute,IN,Y,1080
Rose-Hulman Institute of Technology,University,Terre Haute,IN,Y,1081
Rosemont College,University,Rosemont,PA,Y,1082
Rowan University Alumni Association and Rowan University Foundation,"Alumni Association, Foundation",Glassboro,NJ,Y,1083
Rowan University Alumni Association_Rowan University Foundation,Alumni Association,Glassboro,NJ,Y,1084
Russell Sage College Alumnae Association,Alumni Association,Troy,NY,Y,1085
Russell Sage College Alumni Association,Alumni Association,Troy,NY,Y,1086
Rutgers,Alumni Association,New Brunswick,NJ,Y,1087
"Rutgers University Alumni Federation and Rutgers, the State University of New Jersey","Alumni Association, University",New Brunswick,NJ,Y,1088
Rutgers University Foundation,Alumni Association,New Brunswick,NJ,Y,1089
Rutgers University Student and Alumni Federal Credit Union,Other,New Brunswick,NJ,Y,1090
Sacramento State Alumni Association,Alumni Association,Sacramento,CA,Y,1091
Sacred Heart University,University,Fairfield,CT,Y,1092
SAE International,Other,Warrendale,PA,Y,1093
Saginaw Valley State University,University,University Center,MI,Y,1094
Saint Anselm College,University,Manchester,NH,Y,1095
Saint Cloud State University Alumni Association,Alumni Association,Saint Cloud,MN,Y,1096
Saint Francis University,University,Loretto,PA,Y,1097
Saint Josephs College,University,Rensselaer,IN,Y,1098
Saint Joseph's College,University,Rensselaer,IN,Y,1099
Saint Josephs College Alumni Association,Alumni Association,Brooklyn,NY,Y,1100
Saint Joseph's College of Maine,University,Standish,ME,Y,1101
Saint Josephs University,University,Philadelphia,PA,Y,1102
Saint Joseph's University,University,Philadelphia,PA,Y,1103
Saint Leo University,University,Saint Leo,FL,Y,1104
Saint Louis University,University,St. Louis,MO,Y,1105
Saint Marys College of California,Alumni Association,Moranga,CA,Y,1106
Saint Mary's College of California,University,Moraga,CA,Y,1107
Saint Mary's College of California,Alumni Association,Moranga,CA,Y,1108
Saint Marys University of San Antonio Texas,University,San Antonio,TX,Y,1109
Saint Peter's College Alumni Association,Alumni Association,Jersey City,NJ,Y,1110
Saint Vincent College Alumni Association,Alumni Association,Latrobe,PA,Y,1111
Saint Xavier University,University,Chicago,IL,Y,1112
Salem State College Alumni Association,Alumni Association,Salem,MA,Y,1113
Salisbury University Alumni Association,Alumni Association,Saisbury,MD,Y,1114
Salisbury University Foundation Inc,Foundation,Salisbury,MD,Y,1115
"Salisbury University Foundation, Inc.",Foundation,Salisbury,MD,Y,1116
Sam Houston State University,University,Huntsville,TX,Y,1117
Samford University,University,Birmingham,AL,Y,1118
San Diego State University Campanile Foundation,Foundation,San Diego,CA,Y,1119
San Francisco State University,Foundation,San Francisco,CA,Y,1120
San Jose State University Alumni Association,Alumni Association,San Jose,CA,Y,1121
Santa Clara University,University,Santa Clara,CA,Y,1122
Seattle Pacific University,University,Seattle,WA,Y,1123
Seattle University,University,Seattle,WA,Y,1124
Seattle University,"Alumni Association, University",Seattle,WA,Y,1125
Seattle University,Alumni Association,Seattle,WA,Y,1126
Seminole Boosters Inc,Other,Tallahassee,FL,Y,1127
"Seminole Boosters, Inc.",Other,Tallahassee,FL,Y,1128
Seton Hall University,University,South Orange ,NJ,Y,1129
Shenandoah University,University,Winchester,VA,Y,1131
Shepherd College Alumni Association,Alumni Association,Shepherdstown,WV,Y,1132
Shippensburg University Foundation Inc,Foundation,Shippensburg,PA,Y,1133
"Shippensburg University Foundation, Inc.",Foundation,Shippensburg,PA,Y,1134
Shippensburg University of Pennsylvania,Other,Shippensburg,PA,Y,1135
"Shippensburg University Student Services, Inc.",Other,Shippensburg,PA,Y,1136
Shorter College Alumni Association,Alumni Association,Rome,GA,Y,1137
Siena College,University,Loudonville,NY,Y,1138
Sigma Alpha Epsilon Fraternity,Other,Evanston,IL,Y,1139
Sigma Alpha Iota International Music Fraternity,Other,Asheville,NC,Y,1140
Sigma Alpha Mu Fraternity,Other,Indianapolis,IN,Y,1141
Sigma Beta Delta,Other,St. Louis,MO,Y,1142
Sigma Chi,Other,Evanston,IL,Y,1143
Sigma Chi Foundation,Foundation,Evanston,IL,Y,1144
Sigma Chi Foundation,Other,Evanston,IL,Y,1145
Sigma Kappa Sorority,Other,Indianapolis,IN,Y,1146
Sigma Nu Fraternity Inc,Other,Lexington,VA,Y,1147
"Sigma Nu Fraternity, Inc.",Other,Lexington,VA,Y,1148
Sigma Phi Delta Fraternity,Other,Rockford,IL,Y,1149
"Sigma Phi Epsilon Fraternity, Inc.",Other,Richmond,VA,Y,1150
Sigma Pi Fraternity International Inc,Other,Vincennes,IN,Y,1151
"Sigma Pi Fraternity International, Inc.",Other,Vincennes,IN,Y,1152
"Sigma Pi Fraternity International, Inc.",Other,Vincennes,IA,Y,1153
Sigma Sigma Sigma,Other,Woodstock,VA,Y,1154
Sigma Tau Gamma Fraternity Inc,Other,Warrensburg,MO,Y,1155
"Sigma Tau Gamma Fraternity, Inc.",Other,Warrensburg,MO,Y,1156
Sigma Theta Tau International Honor Society of Nursing Inc,Other,Indianapolis,IN,Y,1157
"Sigma Theta Tau International Honor Society of Nursing, Inc.",Other,Indianapolis,IN,Y,1158
Sigma Xi The Scientific Research Society,Other,RTP,NC,Y,1159
"Sigma Xi, The Scientific Research Society",Other,Research Triangle Park,NC,Y,1160
Simmons College,University,Boston,MA,Y,1161
SIUE Alumni Association,Alumni Association,Edwardsville,IL,Y,1162
Slippery Rock State University,Foundation,Slippery Rock,PA,Y,1163
"Slippery Rock State University Foundation, Inc.",Foundation,Slippery Rock,PA,Y,1164
"Slippery Rock University Foundation, Inc.",Foundation,Slippery Rock,PA,Y,1165
Society for Mining Metallurgy and Exploration Inc,Other,Littleton,CO,Y,1166
"Society for Mining, Metallurgy and Exploration, Inc.",Other,Littleton,CO,Y,1167
Society of Nuclear Medicine,Other,New York,NY,Y,1168
Society of Plastics Engineers,Other,Brookfield,CT,Y,1169
Society of Women Engineers,Other,New York,NY,Y,1170
Soil and Water Conservation Society,Other,Ankeny,IA,Y,1171
Sonoma State University Alumni Association,Alumni Association,Rohnert,CA,Y,1172
"Sonoma State University Alumni Association, Inc.",Alumni Association,Rohnert Park,CA,Y,1173
Sonoma State University Alumni AssociationInc_SSU Development Office,Alumni Association,Rohnert Park,CA,Y,1174
South Dakota School of Mines & Technology Foundation,Foundation,Rapid City,SD,Y,1175
South Dakota School of Mines and Technology Foundation,Foundation,Rapid City,SD,Y,1176
South Dakota State University,Alumni Association,Brookings,SD,Y,1177
South Dakota State University Alumni Association ,Alumni Association,Brookings,SD,Y,1179
Southeast Missouri State University,University,Cape Girardeau,MO,Y,1180
Southeast Missouri University Foundation,Foundation,Cape Girardeau,MO,Y,1181
Southeastern College,University,Lakeland,FL,Y,1182
Southeastern Louisiana Alumni Association,Alumni Association,Hammond,LA,Y,1183
Southern Adventist University,University,Collegedale,TN,Y,1184
Southern Connecticut State University Alumni Association,Alumni Association,New Haven,CT,Y,1185
Southern Illinois University,Alumni Association,Carbondale,IL,Y,1186
Southern Illinois University Alumni Association,Alumni Association,Carbondale,IL,Y,1187
Southern Methodist University,University,Dallas,TX,Y,1188
Southern Methodist University,"Alumni Association, University",Dallas,TX,Y,1189
Southern Methodist University,Alumni Association,Dallas,TX,Y,1190
Southern New Hampshire University,University,Manchester,NH,Y,1191
Southern New Hampshire University,Alumni Association,Manchester,NH,Y,1192
Southern Oregon University Foundation,Foundation,Ashland,OR,Y,1193
Southern Oregon University Foundation & Alumni Association,"Alumni Association, Foundation",Ashland,OR,Y,1194
"Southern Polytechnic State University Alumni Association, Inc.",Alumni Association,Marietta,GA,Y,1195
Southern University System Alumni Federation,Alumni Association,Baton Rouge,LA,Y,1196
Southern Utah University Alumni Association,Alumni Association,Cedar City,UT,Y,1197
Southern Wesleyan University,University,Central,SC,Y,1198
Southwest Baptist University,University,Bolivar ,MO,Y,1199
Southwest Missouri State University Foundation,Foundation,Springfield,MO,Y,1200
Southwest Oklahoma State University,Alumni Association,Weatherford,OK,Y,1201
Southwest Texas State University Alumni Association,Alumni Association,San Marcos,TX,Y,1202
Southwestern Oklahoma State University Alumni Association,Alumni Association,Weatherford,OK,Y,1203
"Southwestern Oklahoma State University Alumni Association, Inc.",Alumni Association,Weatherford ,OK,Y,1204
"Southwestern Oklahoma State University Alumni Association, Inc.",Alumni Association,Weatherford,OK,Y,1205
Southwestern University School of Law,University,Los Angeles,CA,Y,1206
Spring Arbor University,University,Spring Arbor,MI,Y,1207
Springfield College,University,Springfield,MA,Y,1208
St Ambrose University,University,Davenport,IA,Y,1209
St Johns University,University,Collegeville,MN,Y,1210
St Johns University New York,University,Queens,NY,Y,1211
St John's University New York,University,Queens,NY,Y,1212
St Lawrence University ,University,Canton,NY,Y,1213
St Norbert College,University,De Pere,WI,Y,1214
St. Ambrose University,University,Davenport,IA,Y,1215
St. Bonaventure University,University,St. Bonaventure,NY,Y,1216
"St. Catharine's College, Cambridge",University,Cambridge,UK,Y,1217
"St. Catherine's College, Cambridge",University,Cambridge,UK,Y,1218
St. Cloud State University Alumni Association,Alumni Association,St. Cloud,MN,Y,1219
St. Cloud State University Alumni Association,Alumni Association,Saint Cloud,MN,Y,1220
St. Edward's University,University,Austin,TX,Y,1221
St. Francis College,University,Brooklyn,NY,Y,1222
St. George's University School of Medicine Alumni Association,Alumni Association,Islip Terrace,NY,Y,1223
St. John Fisher College,University,Rochester,NY,Y,1224
St. John's College,University,Cambridge,UK,Y,1225
St. John's University,University,Collegeville,MN,Y,1226
St. John's University,University,Jamaica ,NY,Y,1227
St. Joseph's University,University,Philadelphia,PA,Y,1229
St. Lawrence University,University,Canton,NY,Y,1230
St. Louis College of Pharmacy Alumni Association,Alumni Association,St. Louis,MO,Y,1232
St. Mary's University ,University,San Antonio,TX,Y,1233
"St. Mary's University of San Antonio, Texas",University,San Antonio,TX,Y,1234
St. Norbert College,University,De Pere,WI,Y,1235
St. Peters College,Alumni Association,Jersey City,NJ,Y,1236
St. Petersburg College Alumni Association,Alumni Association,Pinellas Park,FL,Y,1237
St. Thomas Aquinas College,University,Sparkill,NY,Y,1238
St. Thomas University,University,Miami,FL,Y,1239
Stanford Alumni Association,Alumni Association,Stanford,CA,Y,1240
Stanford Alumni Association and Stanford Department of Athletics Physical Education Recreation,Alumni Association,Stanford,CA,Y,1241
"Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation",Alumni Association,Stanford,CA,Y,1242
Stanford Athletics,Other,Stanford,CA,Y,1243
"Stanford University and Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation",Alumni Association,Stanford,CA,Y,1244
State University of Iowa Alumni Association,Alumni Association,Iowa City ,IA,Y,1245
State University of Iowa Foundation,Alumni Association,Iowa City,IA,Y,1247
State University of New York at Binghamton Alumni Association,Alumni Association,Binghamton,NY,Y,1248
State University of New York Binghamton,Alumni Association,Binghamton,NY,Y,1249
State University of New York Brockport Alumni Association,Alumni Association,Brockport,NY,Y,1250
State University of New York-Brockport Alumni Association,Alumni Association,Brockport,NY,Y,1251
State University of New York-State College of Optometry Alumni Association,Alumni Association,New York,NY,Y,1252
Stephen F Austin Alumni Association,Alumni Association,Nacagdoches,TX,Y,1253
Stephen F Austin Alumni Association ,Alumni Association,Nacogdoches,TX,Y,1254
Stephen F. Austin Alumni Association,Alumni Association,Nacogdoches,TX,Y,1255
Stephen F. Austin State University Alumni Association,Alumni Association,Nacogdoches,TX,Y,1256
Stephens College,University,Columbia,MO,Y,1257
Stetson College of Law,University,Gulfport,FL,Y,1258
Stetson College of Law,University,St. Petersburg,FL,Y,1259
Stetson University,University,DeLand,FL,Y,1260
Stevens Institute of Technology,University,Hoboken,NJ,Y,1261
Stonehill College Inc,Alumni Association,Easton,MA,Y,1262
Stonehill College Inc,University,Easton,MA,Y,1263
"Stonehill College, Inc.",University,Easton,MA,Y,1264
"Stonehill College, Inc.",Alumni Association,Easton,MA,Y,1265
Student National Medical Association,Other,Washington,DC,Y,1266
Suffolk University and Suffolk University Law School,University,Boston,MA,Y,1267
Suffolk University and Suffolk University School of Law,University,Boston,MA,Y,1268
SUNY  Cortland Alumni Association,Alumni Association,Cortland,NY,Y,1269
SUNY - Potsdam,Alumni Association,Potsdam,NY,Y,1270
"SUNY College at Oneonta Alumni Association, Inc.",Alumni Association,Oneonta,NY,Y,1271
"SUNY College at Oneonta Alumni Association, Inc. ",Alumni Association,Oneonta,NY,Y,1272
SUNY -Cortland,Alumni Association,Cortland,NY,Y,1273
SUNY Cortland Alumni Association,Alumni Association,Cortland,NY,Y,1274
SUNY Farmingdale Alumni Association,Alumni Association,Farmingdale,NY,Y,1275
SUNY Fredonia Alumni Association,Alumni Association,Fredonia,NY,Y,1276
SUNY Geneseo,Alumni Association,Geneseo,NY,Y,1277
"SUNY-Canton College Foundation, Inc.",Foundation,Canton,NY,Y,1278
SUNY-Fredonia Alumni Association,Alumni Association,Fredonia,NY,Y,1279
"SUNY-Fredonia Alumni Association, Inc.",Alumni Association,Fredonia,NY,Y,1280
"SUNY-Institute of Technology Foundation at Utica/Rome, Inc.",Foundation,Utica,NY,Y,1281
SUNYIT Alumni Association,Alumni Association,Utica,NY,Y,1282
Susquehanna University,University,Selinsgrove,PA,Y,1283
Swarthmore College,University,Swarthmore,PA,Y,1284
Syracuse Football Club,Other,Syracuse,NY,Y,1285
Syracuse Football Club,Alumni Association,Syracuse,NY,Y,1286
Syracuse University,University,Syracuse,NY,Y,1287
Talmudic University,University,Miami Beach ,FL,Y,1289
Talmudic University,University,Miami,FL,Y,1290
TAPPI Foundation Inc,Foundation,Atlanta,GA,Y,1291
"TAPPI Foundation, Inc.",Foundation,Atlanta,GA,Y,1292
Tarleton Alumni Association,Alumni Association,Stephenville,TX,Y,1293
Tau Epsilon Phi Fraternity,Other,Voorhees,NJ,Y,1294
Tau Kappa Epsilon Fraternity,Other,Indianapolis,IN,Y,1295
"TCI Education, Inc.",University,Phoenix,AZ,Y,1296
Teachers College Columbia University,University,New York,NY,Y,1297
"Teachers College, Columbia University",University,New York,NY,Y,1298
Temple University of the Commonwealth System of Higher Education,University,Philadelphia,PA,Y,1299
Temple University-Of the Commonwealth System of Higher Education,University,Philadelphia,PA,Y,1300
Tennessee State University Alumni Association,Alumni Association,Nashville,TN,Y,1301
Tennessee Technological University Alumni Association,Alumni Association,Cookeville,TN,Y,1302
Texas A&M University-Commerce Alumni Association,Alumni Association,Commerce,TX,Y,1303
Texas A&M University-Corpus Christi Alumni Association,Alumni Association,Corpus Christi,TX,Y,1304
Texas AandM University Commerce Alumni Association,Alumni Association,Commerce,TX,Y,1305
Texas AandM University Corpus Christi Alumni Association,Alumni Association,Corpus Christi,TX,Y,1306
Texas Aggie Corps of Cadets Association,Alumni Association,College Station,TX,Y,1307
Texas Christian University,University,Fort Worth,TX,Y,1308
Texas Society of Professional Engineers,Other,Austin,TX,Y,1309
Texas State Alumni Association,Alumni Association,San Marcos,TX,Y,1310
Texas State University-San Marcos Alumni Association,Alumni Association,San Marcos,TX,Y,1311
Texas Tech Alumni Association ,Alumni Association,Lubbock,TX,Y,1313
Texas Tech University,Alumni Association,Lubbock,TX,Y,1314
Texas Wesleyan University,University,Fort Worth,TX,Y,1315
Texas Woman's University Former Students Association,Alumni Association,Denton,TX,Y,1316
Texas Womens University Former Students Association,Alumni Association,Denton,TX,Y,1317
Thaddeus Stevens College of Technology - Lancaster Campus,University,Lancaster,PA,Y,1318
The Alabama A&M University Alumni Association,Alumni Association,Normal,AL,Y,1319
The Alumnae Association of Mount Holyoke College,Alumni Association,South Hadley,MA,Y,1320
The Alumnae Association of Mount Holyoke College and The Trustees of Mount Holyoke College,"Alumni Association, University",South Hadley,MA,Y,1321
The Alumnae Association of Trinity College,Alumni Association,Washington,DC,Y,1322
The Alumni Association of the State University College at Potsdam,Alumni Association,Potsdam,NY,Y,1323
"The Alumni Association, Cal State Bakersfield Foundation",Foundation,Bakersfield,CA,Y,1324
The Alumni Associationof New Jersey Institute of Technology,Alumni Association,Newark,NJ,Y,1325
The Alumni Associationof the State University College at Potsdam,Alumni Association,Potsdam,NY,Y,1326
"The Alumni Associationof the State University of New York Agricultural and Technical College at Farmingdale, Inc.",Alumni Association,Farmingdale,NY,Y,1327
The Alumni Associationof the University of Kansas,Alumni Association,Lawrence ,KS,Y,1328
The Alumni Associationof the University of Nebraska-Lincoln,Alumni Association,Lincoln ,NE,Y,1329
The Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA,Y,1330
"The Alumni Society of School of Visual Arts, Inc.",Alumni Association,New York,NY,Y,1331
The American College,University,Bryn Mawr,PA,Y,1332
"The Arch Foundation for the University of Georgia, Inc.",Foundation,Athens,GA,Y,1333
The Associated Alumnae and Alumni of the Sacred Heart,Alumni Association,St. Louis,MO,Y,1334
The Associated Alumni of the Central High School of Philadelphia,Alumni Association,Rydal,PA,Y,1335
"The Association of Alumni, Former Students, and Friends of SIU",Alumni Association,Carbondale,IL,Y,1336
The Association of Former Students of Texas A&M University,Alumni Association,College Station,TX,Y,1337
The Association of Former Students of Texas AM University,Alumni Association,College Station,TX,Y,1338
The Association of the Alumni and Alumnae of the Massachusetts Institute of Technology,Alumni Association,Cambridge,MA,Y,1339
The Board of Trustees of Northern Michigan University,University,Marquette,MI,Y,1340
"The California University of Pennsylvania Alumni Association, Inc.",Alumni Association,California,PA,Y,1341
The Catholic University of America,University,Washington,DC,Y,1342
The Citadel,Alumni Association,Charleston,SC,Y,1343
The Citadel Alumni Association,Alumni Association,Charleston,SC,Y,1344
The College of New Jersey,Alumni Association,Ewing,NJ,Y,1345
The College of New Jersey Alumni Association,Alumni Association,Ewing,NJ,Y,1346
The College of Saint Rose,University,Albany,NY,Y,1347
The College of St. Scholastica,University,Duluth,MN,Y,1348
The College of the Holy Cross General Alumni Association,Alumni Association,Worcester,MA,Y,1349
The Colleges of the Seneca Inc,University,Geneva,NY,Y,1350
"The Colleges of the Seneca, Inc.",University,Geneva,NY,Y,1351
"The Delta Kappa Gamma Society, International",Other,Austin,TX,Y,1352
The Delta Theta Phi Law Fraternity,Other,Rocky River,OH,Y,1353
"The Development Foundation of Western Carolina University, Inc.",Foundation,Cullowhee,NC,Y,1354
The Ex Students Association of The University of Texas,Alumni Association,Austin,TX,Y,1355
The Ex-Students Association of the University of Texas,Alumni Association,Austin,TX,Y,1356
The Foundation of the University of North Carolina at Charlotte,Foundation,Charlotte,NC,Y,1357
The Foundation of the University of North Carolina at Charlotte Inc,Foundation,Charlotte,NC,Y,1358
"The Foundation of the University of North Carolina at Charlotte, Inc.",Foundation,Charlotte,NC,Y,1359
The Fraternity of Alpha Zeta,Other,St. Louis,MO,Y,1360
The Fraternity of Phi Gamma Delta Inc,Other,Lexington,KY,Y,1361
"The Fraternity of Phi Gamma Delta, Inc.",Other,Lexington,KY,Y,1362
The General Alumni Assoc of Univ of N Carolina at Chapel Hill,Alumni Association,Chapel Hill,NC,Y,1363
The George Washington Alumni Association,Alumni Association,Washington,DC,Y,1364
The George Washington University ,Alumni Association,Washington,DC,Y,1365
The Grand Chapter of Phi Sigma Kappa,Other,Indianapolis,IN,Y,1366
The Greater University of South Carolina Alumni Association,Alumni Association,Columbia,SC,Y,1367
The Harvard Cooperative Society,Other,Cambridge,MA,Y,1368
The Honor Society of Phi Kappa Phi,Other,Baton Rouge,LA,Y,1369
The International Honor Society Beta Gamma Sigma,Other,Maryland Heights,MO,Y,1370
The Johns Hopkins University,University,Baltimore,MD,Y,1371
The Kansas University Alumni Association,Alumni Association,Lawrence,KS,Y,1373
The King's College,University,New York,NY,Y,1375
"The Leland Stanford Junior University by Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation","Alumni Association, University",Stanford,CA,Y,1376
The Lutheran University Association Inc,University,Valparaiso,IN,Y,1377
"The Lutheran University Association, Inc. d/b/a Valparaiso University",University,Valparaiso,IN,Y,1378
The Medical College of Virginia Alumni Association,Alumni Association,Richmond,VA,Y,1379
The Medical College of Virginia Alumni Associationof Virginia Commonwealth University,Alumni Association,Richmond,VA,Y,1380
"The Minerals, Metals and Materials Society, Inc.",Other,Warrendale,PA,Y,1381
The Mount Sinai Alumni Inc,Alumni Association,New York,NY,Y,1382
"The Mount Sinai Alumni, Inc.",Alumni Association,New York,NY,Y,1383
The New York Medical College Alumni Association,Alumni Association,Valhalla,NY,Y,1384
"The Ohio State University Alumni Association, Inc.",Alumni Association,Columbus,OH,Y,1385
The Ohio State University Alumni AssociationInc,Alumni Association,Columbus,OH,Y,1386
The Penn State Alumni Association,Alumni Association,State College,PA,Y,1387
"The Potsdam College Foundation, Inc.",Foundation,Potsdam ,NY,Y,1388
The President and Fellows of New Hall in The University of Cambridge,University,Cambridge,UK,Y,1389
