REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2009,Alumni Associationof the University of Virginia,Alumni Association,Charlottesville,VA,"FIA Card Services, N.A.",,,58,-,58
2009,Long Island University,University,Brookville,NY,"FIA Card Services, N.A.",,,911,-,57
2009,Minnesota State University Moorhead Alumni Association,Alumni Association,Moorhead,MN,U.S. Bank National Association ND,,,667,-,57
2009,Ithaca College Alumni Association,Alumni Association,Ithaca,NY,"FIA Card Services, N.A.",,,2007,-,54
2009,"Shippensburg University Foundation, Inc.",Foundation,Shippensburg,PA,"FIA Card Services, N.A.",,,1831,-,52
2009,University of Montana Alumni Association,Alumni Association,Missoula,MT,"FIA Card Services, N.A.",,,4399,-,49
2009,University of Nevada Las Vegas Alumni Association,Alumni Association,Las Vegas,NV,"FIA Card Services, N.A.",,,3490,-,48
2009,Johnson Wales University,University,Providence,RI,"FIA Card Services, N.A.",,,597,-,48
2009,Delta Mu Delta Honor Society,Other,Brookfield,IL,"FIA Card Services, N.A.",,,820,-,46
2009,"Pi Beta Phi Fraternity, Inc.",Other,Town and Country,MO,"FIA Card Services, N.A.",,,1562,-,45
2009,Geneseo Alumni Association,Alumni Association,Geneseo,NY,"FIA Card Services, N.A.",,,797,-,45
2009,Elmhurst College Alumni Association,Alumni Association,Elmhurst,IL,U.S. Bank National Association ND,,,474,-,38
2009,Rutgers University Student and Alumni Federal Credit Union,Other,New Brunswick,NJ,"FIA Card Services, N.A.",,,15206,-,35
2009,Sigma Sigma Sigma,Other,Woodstock,VA,"FIA Card Services, N.A.",,,836,-,35
2009,The Citadel Alumni Association,Alumni Association,Charleston,SC,U.S. Bank National Association ND,,,468,-,33
2009,American Association of University Professors,Other,Washington,DC,"FIA Card Services, N.A.",,,2023,-,32
2009,Administrators of the Tulane Educational Fund,Foundation,New Orleans,LA,"FIA Card Services, N.A.",,,1495,-,31
2009,University of Texas San Antonio Alumni Association,Alumni Association,San Antonio,TX,"FIA Card Services, N.A.",,,482,-,31
2009,"California State University, Dominguez Hills Foundation, Inc.",Foundation,Carson,CA,"FIA Card Services, N.A.",,,1296,-,26
2009,Texas A&M University-Commerce Alumni Association,Alumni Association,Commerce,TX,"FIA Card Services, N.A.",,,689,-,25
2009,Alumni Associationof the State University of New York at Albany,Alumni Association,Albany,NY,"FIA Card Services, N.A.",,,1220,-,23
2009,Tarleton Alumni Association,Alumni Association,Stephenville,TX,"FIA Card Services, N.A.",,,359,-,20
2009,University of Wisconsin-Stevens Point Alumni Associationand Foundation,Alumni Association,Stevens Point,WI,U.S. Bank National Association ND,,,1193,-,19
