REPORTING YEAR,INSTITUTION OR ORGANIZATION,TYPE OF INSTITUTION OR ORGANIZATION,CITY,STATE,CREDIT CARD ISSUER,STATUS,IN EFFECT AS OF BEGINNING OF NEXT YEAR,TOTAL OPEN ACCOUNTS AS OF END OF REPORTING YEAR,PAYMENTS BY ISSUER,NEW ACCOUNTS OPENED IN REPORTING YEAR
2010,Manhattan College,University,Riverdale,NY,"FIA Card Services, N.A.",Same,Yes,1129,19927.06,22
2010,Rowan University Alumni Association and Rowan University Foundation,"Alumni Association, Foundation",Glassboro,NJ,"FIA Card Services, N.A.",Same,Yes,1708,19561.96,58
2010,Western Washington University Alumni Association,Alumni Association,Bellingham,WA,"FIA Card Services, N.A.",Amended,Yes,1430,19468.04,56
2010,Iona College,University,New Rochelle,NY,"FIA Card Services, N.A.",Same,Yes,1214,19166.01,2
2010,Southeast Missouri State University,University,Cape Girardeau,MO,"FIA Card Services, N.A.",Same,Yes,1419,19110.35,39
2010,American Society of Landscape Architects,Other,Washington,DC,"FIA Card Services, N.A.",Same,Yes,935,18427.51,6
2010,American University,University,Washington,DC,"FIA Card Services, N.A.",Amended,Yes,1269,18286.05,30
2010,ASM International,Other,Materials Park,OH,"FIA Card Services, N.A.",Same,Yes,798,18227.48,2
2010,Alumni Associationof the University of South Dakota,Alumni Association,Vermillion,SD,"FIA Card Services, N.A.",Amended,Yes,1094,18198.25,15
2010,Stetson University,University,Deland,FL,"FIA Card Services, N.A.",Same,Yes,932,18026.46,23
2010,Northwestern State University Alumni Association,Alumni Association,Natchitoches,LA,"FIA Card Services, N.A.",Same,Yes,523,18000,11
2010,"Lutheran University Association, Inc., d/b/a Valparaiso University",University,Valparaiso,IN,"FIA Card Services, N.A.",Same,Yes,997,17910.73,37
2010,Butler Community College Foundation,Foundation,El Dorado,KS,"INTRUST Bank, N.A.",Same,Yes,470,17899.92,33
2010,National Association of School Psychologists,Other,Bethesda,MD,"FIA Card Services, N.A.",Same,Yes,1213,17709.11,49
2010,National University,University,La Jolla,CA,"FIA Card Services, N.A.",Same,Yes,1082,17702.5,22
2010,Kappa Delta Pi An International Honor Society in Education,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,1438,17685.81,48
2010,"National Athletic Trainers  Association, Inc.",Other,Dallas,TX,"FIA Card Services, N.A.",Same,Yes,1371,17651.58,47
2010,Texas Woman's University Former Students Association,Alumni Association,Denton,TX,"FIA Card Services, N.A.",Amended,Yes,1325,17503.04,31
2010,Lamar University,University,Beaumont,TX,Compass Bank,New,Yes,0,17500,-
2010,Phi Kappa Tau Fraternity,Other,Oxford,OH,"FIA Card Services, N.A.",Same,Yes,464,17500,5
2010,Southern Methodist University,University,Dallas,TX,"FIA Card Services, N.A.",Same,Yes,838,17419.8,52
2010,John Carroll University,University,University Heights,OH,"FIA Card Services, N.A.",Same,Yes,1051,17407.4,40
2010,Babson College Alumni Association and Babson College,"Alumni Association, University",Wellesley,MA,"FIA Card Services, N.A.",Same,Yes,632,17337.7,18
2010,William Marsh Rice University,University,Houston,TX,"FIA Card Services, N.A.",Amended,Yes,2394,17183.16,27
2010,University of Massachusetts-Boston,University,Boston,MA,"FIA Card Services, N.A.",Same,Yes,608,17000,33
2010,Suffolk University and Suffolk University School of Law,University,Boston,MA,"FIA Card Services, N.A.",Amended,No,864,16718.85,15
2010,"Salisbury University Foundation, Inc.",Foundation,Salisbury,MD,"FIA Card Services, N.A.",Same,Yes,858,16657.43,37
2010,Sigma Chi Foundation,Other,Evanston,IL,U.S. Bank National Association ND,Same,Yes,1131,16231.16,208
2010,Emporia State University Alumni Association,Alumni Association,Emporia,KS,"INTRUST Bank, N.A.",Same,Yes,879,16192.7,36
2010,American Health Information Management Association,Other,Chicago,IL,"FIA Card Services, N.A.",Same,Yes,1605,15954.47,57
2010,University of Texas at Dallas Alumni Association,Alumni Association,Richardson,TX,"FIA Card Services, N.A.",Same,Yes,1306,15560.89,32
2010,American Library Association,Other,Chicago,IL,"FIA Card Services, N.A.",Same,Yes,1104,15367.51,23
2010,"University of California, San Francisco, Alumni Association",Alumni Association,San Francisco,CA,"FIA Card Services, N.A.",Same,Yes,617,15258.8,2
2010,"Rollins College Alumni Association, Inc.",Alumni Association,Winter Park,FL,"FIA Card Services, N.A.",Same,Yes,649,15194.88,21
2010,SIUE Alumni Association,Alumni Association,Edwardsville,IL,"FIA Card Services, N.A.",Amended,Yes,1024,15113.18,33
2010,Delta Mu Delta Honor Society,Other,Brookfield,IL,"FIA Card Services, N.A.",Same,Yes,803,15000,63
2010,"Fraternity of Phi Gamma Delta, Inc.",Other,Lexington,KY,"FIA Card Services, N.A.",Same,Yes,312,15000,29
2010,Delta Sigma Phi Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,627,15000,19
2010,Phi Kappa Theta National Fraternity,Other,Carmel,IN,"FIA Card Services, N.A.",Same,Yes,6,15000,5
2010,St. John's University,University,Collegeville,MN,"FIA Card Services, N.A.",Same,Yes,720,14930.13,13
2010,Wagner College ,University,Staten Island,NY,"FIA Card Services, N.A.",Amended,Yes,370,14785.23,6
2010,University of San Francisco,University,San Francisco,CA,"FIA Card Services, N.A.",Same,Yes,1274,14453.07,33
2010,Beta Alpha Psi,Other,New York,NY,"FIA Card Services, N.A.",Amended,Yes,704,14388.63,-
2010,"National Alumnae Association of Spelman College, Inc.",Alumni Association,Atlanta,GA,"FIA Card Services, N.A.",Same,Yes,396,14293.02,2
2010,Alumni Associationof the City College of New York,Alumni Association,New York,NY,"FIA Card Services, N.A.",Same,Yes,655,14256.72,34
2010,Colorado School of Mines Alumni Association,Alumni Association,Golden,CO,"FIA Card Services, N.A.",Same,Yes,585,13960.17,15
2010,Alpha Xi Delta Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,968,13772.56,21
2010,International Chiropractors Association,Other,Arlington,VA,"FIA Card Services, N.A.",Same,Yes,950,13761.92,9
2010,Widener University,University,Chester,PA,"FIA Card Services, N.A.",Same,Yes,772,13576.06,26
2010,Mount St. Mary's University,University,Emmitsburg,MD,"FIA Card Services, N.A.",Same,Yes,616,13495.52,14
2010,Norwich University Alumni Association,Alumni Association,Northfield,VT,"FIA Card Services, N.A.",Same,Yes,694,13291.53,26
2010,Eastern Washington University Alumni Association,Alumni Association,Cheney,WA,"FIA Card Services, N.A.",Same,Yes,933,13068.04,22
2010,Morgan State University National Alumni Association,Alumni Association,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,403,13037.26,5
2010,Cleveland State University Alumni Association,Alumni Association,Cleveland,OH,"FIA Card Services, N.A.",Amended,No,1287,12892.08,1
2010,Kutztown University Alumni Association,Alumni Association,Kutztown,PA,"FIA Card Services, N.A.",Amended,Yes,986,12746.57,50
2010,University of Tulsa,University,Tulsa,OK,"FIA Card Services, N.A.",Same,Yes,650,12646.22,7
2010,Angelo State University Ex-Students Association,Alumni Association,San Angelo,TX,"FIA Card Services, N.A.",Same,Yes,662,12556.8,10
2010,Delta Delta Delta Fraternity,Other,Arlington,TX,U.S. Bank National Association ND,Same,Yes,933,12482.27,55
2010,University of Central Arkansas Alumni Association,Alumni Association,Conway,AR,"FIA Card Services, N.A.",Same,Yes,830,12435.81,19
2010,Westminster College New Wilmington,University,New Wilmington,PA,"FIA Card Services, N.A.",Same,Yes,736,12416.13,2
2010,St. Lawrence University ,University,Canton,NY,"FIA Card Services, N.A.",Amended,Yes,705,12384.39,9
2010,"Old Dominion University Alumni Association, Inc.",Alumni Association,Norfolk,VA,"FIA Card Services, N.A.",Amended,No,1008,12285.11,53
2010,International Legal Fraternity of Phi Delta Phi,Other,Greenbelt,MD,"FIA Card Services, N.A.",Same,Yes,365,12216.62,10
2010,McNeese State University Alumni Association,Alumni Association,Lake Charles,LA,"FIA Card Services, N.A.",Same,Yes,831,12133.49,32
2010,Morehead State University Alumni AssociationInc.,Alumni Association,Morehead,KY,"FIA Card Services, N.A.",Amended,Yes,948,12082.92,14
2010,University of Wisconsin-Superior Alumni Association,Alumni Association,Superior,WI,"FIA Card Services, N.A.",Amended,Yes,343,12000,1
2010,Liberty University,University,Lynchburg,VA,U.S. Bank National Association ND,Same,Yes,1265,11951.36,197
2010,Creighton University Alumni Association and Creighton University,"Alumni Association, University",Omaha,NE,First National Bank of Omaha,Same,No,446,11908.86,-
2010,University of Mary Washington Alumni Association and University of Mary Washington Foundation ,"Alumni Association, Foundation",Fredericksburg,VA,"FIA Card Services, N.A.",Amended,Yes,759,11905.53,20
2010,National Lawyers Guild,Other,New York,NY,"FIA Card Services, N.A.",Amended,Yes,489,11863.79,1
2010,Dickinson College,University,Carlisle,PA,"FIA Card Services, N.A.",Same,Yes,514,11691.41,-
2010,University of Wisconsin Eau Claire Foundation,Foundation,Eau Claire,WI,U.S. Bank National Association ND,Same,Yes,637,11331.27,101
2010,"Society for Mining, Metallurgy and Exploration, Inc.",Other,Littleton,CO,"FIA Card Services, N.A.",Same,Yes,336,11275.78,1
2010,Southern Utah University Alumni Association,Alumni Association,Cedar City,UT,"FIA Card Services, N.A.",Same,Yes,815,11246.14,9
2010,Bethel College Alumni Association,Alumni Association,North Newton,KS,"INTRUST Bank, N.A.",Same,Yes,529,11182.89,11
2010,Ohio Wesleyan University,University,Delaware,OH,"FIA Card Services, N.A.",Same,Yes,614,11048.02,6
2010,Principia,University,St. Louis,MO,UMB Bank,Same,Yes,194,11008.51,165
2010,Society of Women Engineers,Other,New York,NY,"FIA Card Services, N.A.",Same,Yes,1042,10892.44,7
2010,Clarkson University,University,Potsdam,NY,"FIA Card Services, N.A.",Same,Yes,581,10865.23,-
2010,Duquesne University Alumni Association,Alumni Association,Pittsburgh,PA,U.S. Bank National Association ND,Same,Yes,1279,10851.34,178
2010,Central Washington University Alumni Association,Alumni Association,Ellensburg,WA,"FIA Card Services, N.A.",Amended,Yes,906,10737.57,46
2010,Lewis and Clark College,University,Portland,OR,"FIA Card Services, N.A.",Same,Yes,951,10734.57,2
2010,Kappa Alpha Psi,Other,Philadelphia,PA,"FIA Card Services, N.A.",Same,Yes,734,10697.1,23
2010,Saint Leo University,University,Saint Leo,FL,"FIA Card Services, N.A.",Same,Yes,841,10689.2,1
2010,Millersville University Alumni Association,Alumni Association,Millersville,PA,U.S. Bank National Association ND,Same,Yes,1220,10652.29,137
2010,"Development Foundation of Western Carolina University, Inc.",Foundation,Cullowhee,NC,"FIA Card Services, N.A.",Same,Yes,849,10577.2,18
2010,Moravian College,University,Bethlehem,PA,"FIA Card Services, N.A.",Same,Yes,551,10557.6,1
2010,Society of Plastics Engineers,Other,Brookfield,CT,"FIA Card Services, N.A.",Same,Yes,858,10512.39,1
2010,Berklee College of Music,University,Boston,MA,"FIA Card Services, N.A.",Same,Yes,711,10474.73,24
2010,Grand Valley State University,University,Allendale,MI,"FIA Card Services, N.A.",Same,Yes,988,10388.32,63
2010,Associated Alumnae and Alumni of the Sacred Heart,Alumni Association,St. Louis,MO,"FIA Card Services, N.A.",Same,Yes,741,10317.29,4
2010,Oral Roberts University Alumni Foundation,Foundation,Tulsa,OK,"FIA Card Services, N.A.",Same,Yes,534,10205.79,1
2010,Saint Anselm College,University,Manchester,NH,"FIA Card Services, N.A.",Same,Yes,554,10195.21,9
2010,Society of Nuclear Medicine,Other,New York,NY,"FIA Card Services, N.A.",Same,Yes,785,10134.91,9
2010,Sigma Alpha Iota International Music Fraternity,Other,Asheville,NC,"FIA Card Services, N.A.",Amended,Yes,711,10113.29,34
2010,Gustavus Adolphus College,University,Saint Peter,MN,"FIA Card Services, N.A.",Same,Yes,593,10067.28,22
2010,Geneva College,University,Beaver Falls,PA,"FIA Card Services, N.A.",Same,Yes,719,10042.68,15
2010,Lafayette College Alumni Association,Alumni Association,Easton,PA,"FIA Card Services, N.A.",Same,Yes,611,10000,10
2010,Psi Upsilon Fraternity,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,9,10000,2
2010,Princeton University Store,Other,Princeton,NJ,"FIA Card Services, N.A.",Same,Yes,1941,10000,1
2010,Fort Hays State University Alumni Association,Alumni Association,Hays,KS,"INTRUST Bank, N.A.",Same,Yes,676,9999.96,59
2010,Otterbein College,University,Westerville,OH,"FIA Card Services, N.A.",Same,Yes,527,9959.79,5
2010,Clark University Alumni Association,Alumni Association,Worcester,MA,"FIA Card Services, N.A.",Same,Yes,561,9955.78,9
2010,University of Redlands,University,Redlands,CA,"FIA Card Services, N.A.",Same,Yes,864,9898.91,3
2010,Citadel Alumni Association,Alumni Association,Charleston,SC,U.S. Bank National Association ND,Same,Yes,368,9885.33,74
2010,Gemological Institute of America Alumni Association,Alumni Association,Santa Monica,CA,"FIA Card Services, N.A.",Same,Yes,1405,9859.79,44
2010,University of Baltimore Alumni Association,Alumni Association,Baltimore,MD,"FIA Card Services, N.A.",Amended,Yes,504,9790.5,9
2010,Seattle Pacific University,University,Seattle,WA,"FIA Card Services, N.A.",Same,Yes,584,9734.58,10
2010,William Paterson University Alumni Association,Alumni Association,Wayne,NJ,"FIA Card Services, N.A.",Same,Yes,796,9717.23,4
2010,SUNY-Fredonia Alumni Association,Alumni Association,Fredonia,NY,"FIA Card Services, N.A.",Same,Yes,782,9646.46,11
2010,Bryant College,University,Smithfield,RI,"FIA Card Services, N.A.",Same,Yes,582,9637.53,9
2010,Freed Hardeman University,University,Henderson,TN,"FIA Card Services, N.A.",Same,Yes,541,9583.34,10
2010,University of Evansville,University,Evansville,IN,"FIA Card Services, N.A.",Same,Yes,674,9576.41,16
2010,Rensselaer Polytechnic Institute Alumni Association,Alumni Association,Troy,NY,U.S. Bank National Association ND,Same,Yes,833,9414.38,136
2010,Delta Gamma Fraternity,Other,Columbus,OH,"FIA Card Services, N.A.",Amended,Yes,896,9396.97,44
2010,Wofford College,University,Spartanburg,SC,"FIA Card Services, N.A.",Same,Yes,493,9389.19,3
2010,"Foundation Chapter of Theta Chi Fraternity, Inc.",Foundation,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,573,9225.72,23
2010,University of La Verne,University,La Verne,CA,"FIA Card Services, N.A.",Amended,No,549,9204.32,-
2010,Murray State University Alumni Association,Alumni Association,Murray,KY,U.S. Bank National Association ND,Same,Yes,887,9079.61,98
2010,"Mansfield University Foundation, Inc.",Foundation,Mansfield,PA,"FIA Card Services, N.A.",Same,Yes,629,8975.88,10
2010,Stephens College,University,Columbia,MO,"FIA Card Services, N.A.",Same,Yes,452,8862.66,6
2010,Rockhurst University,University,Kansas City,MO,"FIA Card Services, N.A.",Same,Yes,498,8850.41,4
2010,Augustana College,University,Sioux Falls,SD,"FIA Card Services, N.A.",Same,Yes,496,8832.96,18
2010,"Phi Delta Kappa International, Inc.",Other,Bloomington,IN,"FIA Card Services, N.A.",Amended,Yes,904,8759.07,22
2010,"Alumni Society of the School of Visual Arts, Inc.",Alumni Association,New York,NY,"FIA Card Services, N.A.",Same,Yes,594,8701.51,22
2010,Colorado College,University,Colorado Springs,CO,"FIA Card Services, N.A.",Amended,Yes,417,8668.96,1
2010,University of Massachusetts Lowell,University,Lowell,MA,U.S. Bank National Association ND,Same,Yes,809,8667.92,125
2010,Phi Kappa Psi,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,447,8665.95,16
2010,Mortar Board Foundation Fund,Foundation,Columbus,OH,"FIA Card Services, N.A.",Same,Yes,564,8624.62,6
2010,National-Louis University,University,Evanston,IL,"FIA Card Services, N.A.",Same,Yes,781,8617.88,31
2010,"Delta Chi Fraternity, Inc.",Other,Iowa City,IA,"FIA Card Services, N.A.",Same,Yes,868,8577.62,50
2010,Rider University,University,Lawrenceville,NJ,"FIA Card Services, N.A.",Amended,Yes,683,8567.69,1
2010,Monmouth University,University,West Long Branch,NJ,"FIA Card Services, N.A.",Amended,Yes,692,8499.75,33
2010,Trinity University,University,San Antonio,TX,"FIA Card Services, N.A.",Same,Yes,437,8493.24,10
2010,Seattle University,University,Seattle,WA,"FIA Card Services, N.A.",Amended,No,616,8474.46,1
2010,"Stonehill College, Inc.",Alumni Association,Easton,MA,"FIA Card Services, N.A.",Same,Yes,402,8471.79,-
2010,"Alpha Phi Alpha Fraternity, Inc.",Other,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,440,8147.18,-
2010,"University of West Georgia Foundation, Inc.",Foundation,Carrollton,GA,"FIA Card Services, N.A.",Same,Yes,567,8145.88,28
2010,"California State University, San Marcos, Alumni Association",Alumni Association,San Marcos,CA,"FIA Card Services, N.A.",Amended,No,214,8032.9,1
2010,Washburn University ,University,Topeka,KS,"INTRUST Bank, N.A.",Same,Yes,469,7999.92,22
2010,"Northeastern State University Foundation, Inc.",Foundation,Tahlequah,OK,"FIA Card Services, N.A.",Same,Yes,543,7946.53,17
2010,Calvert Hall College Alumni Association,Alumni Association,Towson,MD,"FIA Card Services, N.A.",Amended,No,408,7927.14,1
2010,College of Notre Dame of Maryland,University,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,423,7899.33,-
2010,University of Tampa National Alumni Association,Alumni Association,Tampa,FL,"FIA Card Services, N.A.",Same,Yes,528,7860.53,9
2010,Water Environment Federation,Other,Alexandria,VA,"FIA Card Services, N.A.",Same,Yes,716,7749.47,4
2010,Luther College,University,Decorah,IA,"FIA Card Services, N.A.",Same,Yes,491,7722.05,16
2010,Cooper Union for the Advancement of Science and Art,University,New York City,NY,"FIA Card Services, N.A.",Amended,Yes,618,7703.31,10
2010,Thunderbird School of Global Management,University,Glendale,AZ,"FIA Card Services, N.A.",Same,Yes,355,7636.29,-
2010,Haverford College,University,Haverford,PA,"FIA Card Services, N.A.",Same,Yes,272,7615.46,1
2010,Shepherd College Alumni Association,Alumni Association,Shepherdstown,WV,"FIA Card Services, N.A.",Same,Yes,481,7545.1,-
2010,Niagara University,University,Niagara,NY,"FIA Card Services, N.A.",Same,Yes,553,7505.94,22
2010,Whittier College,University,Whittier,CA,"FIA Card Services, N.A.",Same,Yes,500,7484.09,5
2010,Barry University Alumni Association,Alumni Association,Miami Shores,FL,"FIA Card Services, N.A.",Amended,No,818,7382.03,-
2010,Baruch College Alumni Association,Alumni Association,New York,NY,"FIA Card Services, N.A.",Amended,No,688,7365.51,19
2010,University of West Florida Foundation,Foundation,Pensacola,FL,"FIA Card Services, N.A.",Amended,No,957,7249.23,-
2010,University of Southern Indiana Alumni Association,Alumni Association,Evansville,IN,"FIA Card Services, N.A.",Same,Yes,482,7177.78,28
2010,Ursinus College,University,Collegeville,PA,"FIA Card Services, N.A.",Same,Yes,340,7145.56,5
2010,Le Moyne College,University,Syracuse,NY,"FIA Card Services, N.A.",Same,Yes,543,7138.51,12
2010,Alumnae Association of Mount Holyoke College and the Trustees of Mount Holyoke College,"Alumni Association, University",South Hadley,MA,"FIA Card Services, N.A.",Same,Yes,383,7062.14,17
2010,Hampden Sydney College,University,Hampden Sydney,VA,"FIA Card Services, N.A.",Amended,Yes,318,6982.24,-
2010,Union College,University,Schenectady,NY,"FIA Card Services, N.A.",Same,Yes,326,6955.32,11
2010,Queens College Foundation,Foundation,Flushing,NY,"FIA Card Services, N.A.",Amended,No,556,6943.61,-
2010,University of the Sciences in Philadelphia ,University,Philadelphia,PA,"FIA Card Services, N.A.",Same,Yes,452,6943.44,-
2010,University of South Alabama National Alumni Association,Alumni Association,Mobile,AL,U.S. Bank National Association ND,Same,Yes,734,6897.94,77
2010,Dowling College,University,Oakdale,NY,"FIA Card Services, N.A.",Same,Yes,491,6881.79,-
2010,American Nuclear Society,Other,La Grange,IL,"FIA Card Services, N.A.",Same,Yes,478,6844.06,-
2010,"College of Staten Island Alumni Association, Inc.",Alumni Association,Staten Island,NY,"FIA Card Services, N.A.",Amended,Yes,530,6807.66,40
2010,Louisiana State University Medical Center Foundation,Foundation,New Orleans,LA,"FIA Card Services, N.A.",Same,Yes,196,6791.45,-
2010,Phi Sigma Sigma Foundation,Foundation,Elkridge,MD,"FIA Card Services, N.A.",Same,Yes,626,6772.45,4
2010,Association of Surgical Technologists,Other,Englewood,CO,"FIA Card Services, N.A.",Amended,No,876,6764.96,-
2010,California Veterinary Medical Association,Other,Sacramento,CA,"FIA Card Services, N.A.",Same,Yes,403,6735.73,-
2010,Lee University,University,Cleveland,TN,"FIA Card Services, N.A.",Same,No,422,6596.56,-
2010,North Carolina Agricultural and Technical State University,University,Greensboro,NC,"FIA Card Services, N.A.",Same,Yes,670,6594.89,12
2010,"California University of Pennsylvania Alumni Association, Inc.",Alumni Association,California,PA,"FIA Card Services, N.A.",Amended,No,430,6541.53,-
2010,FFA Alumni Association,Alumni Association,Alexandria,VA,"FIA Card Services, N.A.",Same,Yes,437,6506.29,25
2010,Longwood University Alumni Association,Alumni Association,Farmville,VA,"FIA Card Services, N.A.",Same,Yes,440,6466.95,25
2010,SUNY Cortland Alumni Association,Alumni Association,Cortland,NY,U.S. Bank National Association ND,Same,Yes,775,6414.61,113
2010,Wayland Baptist University,University,Plainview,TX,"FIA Card Services, N.A.",Same,Yes,453,6398.32,10
2010,West Liberty State College Alumni Association,Alumni Association,West Liberty,WV,"FIA Card Services, N.A.",Same,Yes,451,6306.67,5
2010,"Westfield State College Foundation, Inc.",Foundation,Westfield,MA,"FIA Card Services, N.A.",Same,Yes,407,6282.55,26
2010,"SUNY College at Oneonta Alumni Association, Inc.",Alumni Association,Oneonta,NY,U.S. Bank National Association ND,Same,Yes,623,6268.16,123
2010,National Society of Black Engineers,Other,Alexandria,VA,"FIA Card Services, N.A.",Same,Yes,491,6248.77,-
2010,Brooklyn College Alumni Association,Alumni Association,Brooklyn,NY,"FIA Card Services, N.A.",Amended,Yes,1280,6198.57,59
2010,Russell Sage College Alumnae Association,Alumni Association,Troy,NY,"FIA Card Services, N.A.",Same,Yes,379,6197.7,2
2010,Swarthmore College,University,Swarthmore,PA,"FIA Card Services, N.A.",Same,Yes,245,6197.38,-
2010,Grand Chapter of Phi Sigma Kappa,Other,Indianapolis,IN,"FIA Card Services, N.A.",Amended,No,360,6152.15,-
2010,"Jacksonville State University Foundation, Inc.",Foundation,Jacksonville,AL,U.S. Bank National Association ND,Same,Yes,629,6112.02,94
2010,Western Oregon University Development Foundation ,Foundation,Monmouth,OR,"FIA Card Services, N.A.",Same,Yes,446,6105.39,1
2010,Association of Energy Engineers,Other,Atlanta,GA,"FIA Card Services, N.A.",Amended,Yes,326,6081.1,1
2010,Wartburg College,University,Waverly,IA,"FIA Card Services, N.A.",Same,Yes,280,6000,7
2010,Elizabethtown College,University,Elizabethtown,PA,"FIA Card Services, N.A.",Amended,Yes,514,5966.17,15
2010,Southeastern Louisiana Alumni Association,Alumni Association,Hammond,LA,U.S. Bank National Association ND,Same,Yes,494,5942.47,82
2010,"Alumni Association, Cal State Bakersfield Foundation",Foundation,Bakersfield,CA,"FIA Card Services, N.A.",Amended,No,287,5938.68,-
2010,Roger Williams University,University,Bristol,RI,"FIA Card Services, N.A.",Amended,No,413,5931.57,-
2010,College of New Jersey Alumni Association,Alumni Association,Ewing,NJ,U.S. Bank National Association ND,Same,Yes,804,5908.44,155
2010,Robert Morris College Alumni Association,Alumni Association,Coraopolis,PA,"FIA Card Services, N.A.",Same,Yes,461,5874.31,25
2010,Gettysburg College,University,Gettysburg,PA,"FIA Card Services, N.A.",Same,Yes,363,5866.44,25
2010,National Alumni Associationof the Tennessee State University,Alumni Association,Nashville,TN,"FIA Card Services, N.A.",Same,Yes,386,5808.93,3
2010,University of Hartford Alumni Association,Alumni Association,West Hartford,CT,U.S. Bank National Association ND,Same,Yes,680,5783.64,154
2010,Henderson State University,University,Arkadelphia,AR,"FIA Card Services, N.A.",Same,Yes,416,5768.13,11
2010,Auburn University at Montgomery Alumni Association,Alumni Association,Montgomery,AL,"FIA Card Services, N.A.",Same,Yes,352,5717.25,12
2010,"TAPPI Foundation, Inc.",Foundation,Atlanta,GA,"FIA Card Services, N.A.",Same,Yes,389,5654.74,2
2010,Bridgewater State College Alumni Association,Alumni Association,Bridgewater,MA,U.S. Bank National Association ND,Same,Yes,621,5625.46,153
2010,Western State College Alumni Association,Alumni Association,Gunnison,CO,"FIA Card Services, N.A.",Same,Yes,333,5549.51,5
2010,"Phi Mu Alpha Sinfonia Fraternity of America, Inc.",Other,Evansville,IN,"FIA Card Services, N.A.",Same,Yes,444,5501.5,18
2010,Southern Connecticut State University Alumni Association,Alumni Association,New Haven,CT,U.S. Bank National Association ND,Same,No,732,5501.19,87
2010,University of Alabama at Birmingham National Alumni Society,Alumni Association,Birmingham,AL,U.S. Bank National Association ND,Same,Yes,829,5497.08,92
2010,"Eastern New Mexico University Alumni Association, Inc.",Alumni Association,Portales,NM,"FIA Card Services, N.A.",Same,Yes,695,5485.6,16
2010,Western New England College,University,Springfield,MA,"FIA Card Services, N.A.",Amended,No,425,5483.69,-
2010,Butler University,University,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,335,5481.64,38
2010,University of Montevallo Alumni Association,Alumni Association,Montevallo,AL,"FIA Card Services, N.A.",Same,Yes,230,5467.23,1
2010,Lewis University,University,Romeoville,IL,"FIA Card Services, N.A.",Same,Yes,362,5428.63,-
2010,University of Texas at Tyler Alumni Association,Alumni Association,Tyler,TX,"FIA Card Services, N.A.",Same,Yes,313,5397.94,1
2010,North Georgia College & State University Alumni Association,Alumni Association,Dahlonega,GA,"FIA Card Services, N.A.",Same,Yes,552,5395.36,14
2010,Texas Wesleyan University,University,Fort Worth,TX,"FIA Card Services, N.A.",Same,Yes,286,5386.95,-
2010,Oregon Institute of Technology,University,Klamath Falls,OR,"FIA Card Services, N.A.",Amended,No,342,5378.73,-
2010,Loyola Blakefield Alumni Association,Alumni Association,Baltimore,MD,"FIA Card Services, N.A.",Same,Yes,166,5376.66,-
2010,American College of Sports Medicine,Other,Indianapolis,IN,"FIA Card Services, N.A.",Same,Yes,485,5300.53,4
2010,Milligan College Alumni Association,Alumni Association,Milligan College,TN,"FIA Card Services, N.A.",Same,Yes,284,5244.36,2
2010,South Dakota School of Mines & Technology Foundation,Foundation,Rapid City,SD,"FIA Card Services, N.A.",Amended,Yes,273,5200.69,-
2010,Saint Mary's College of California,University,Moraga,CA,"FIA Card Services, N.A.",Amended,No,304,5196.87,-
2010,Theta Xi Fraternity,Other,St. Louis,MO,"FIA Card Services, N.A.",Same,Yes,330,5162.27,13
2010,Ohio Northern University Alumni Association,Alumni Association,Ada,OH,U.S. Bank National Association ND,Same,Yes,383,5151.39,34
2010,"Sigma Tau Gamma Fraternity, Inc.",Other,Warrensburg,MO,"FIA Card Services, N.A.",Amended,Yes,397,5111.78,2
2010,Benedictine University,University,Lisle,IL,"FIA Card Services, N.A.",Amended,Yes,321,5004.45,8
2010,LSU Alumni Association,Alumni Association,Baton Rouge,LA,"FIA Card Services, N.A.",Same,Yes,8258,5000,119
2010,"Clarion University Foundation, Inc.",Foundation,Clarion,PA,"FIA Card Services, N.A.",Same,Yes,141,5000,36
2010,University System of Maryland Foundation,Foundation,Adelphi,MD,"FIA Card Services, N.A.",Same,Yes,422,5000,8
2010,Buffalo State Alumni Association,Alumni Association,Buffalo,NY,"FIA Card Services, N.A.",Same,Yes,543,4997.97,43
2010,Presbyterian College,University,Clinton,SC,"FIA Card Services, N.A.",Same,Yes,224,4982.18,1
2010,Letourneau University,University,Longview,TX,"FIA Card Services, N.A.",Same,Yes,285,4961.72,1
2010,Richard Stockton College of New Jersey,University,Pomona,NJ,"FIA Card Services, N.A.",Amended,No,473,4930.44,7
2010,"Slippery Rock University Foundation, Inc.",Foundation,Slippery Rock,PA,U.S. Bank National Association ND,Same,Yes,836,4923.04,114
2010,New York City College of Technology Alumni Association,Alumni Association,Brooklyn,NY,"FIA Card Services, N.A.",Amended,No,570,4895.65,-
